address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6037 Buell St,Bell Gardens,CA,90201,754900,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6037-Buell-St-Bell-Gardens-CA-90201/21040231_zpid/
6522 Pine Ave,Bell,CA,90201,580000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6522-Pine-Ave-Bell-CA-90201/21076035_zpid/
5950 Priory St,Bell Gardens,CA,90201,510000,NA,NA,NA,29,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5950-Priory-St-Bell-Gardens-CA-90201/21039329_zpid/
6925 San Luis Ave,Bell,CA,90201,240000,NA,NA,NA,219,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6925-San-Luis-Ave-Bell-CA-90201/21076408_zpid/
Adamson Ave,Bell Gardens,CA,90201,NA,NA,NA,NA,66,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129578589_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Chanslor Ave,Bell,CA,90201,NA,NA,NA,NA,99,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116888531_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6235 Riverside Ave # A,Bell,CA,90201,NA,NA,NA,NA,508,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6235-Riverside-Ave-A-Bell-CA-90201/21071805_zpid/
Perry Rd,Bell Gardens,CA,90201,NA,NA,NA,NA,274,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/127013133_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Clara St,Bell,CA,90201,NA,NA,NA,NA,421,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125436931_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5973 Watcher St,Bell Gardens,CA,90201,NA,NA,NA,NA,134,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5973-Watcher-St-Bell-Gardens-CA-90201/21078508_zpid/
